"";"index";"rainfalls_values";"station"
"277";"chirps-v2.0.2019.01";57,7327079772949;"49.98626_1.25459"
"278";"chirps-v2.0.2019.02";54,0904731750488;"49.98626_1.25459"
"279";"chirps-v2.0.2019.03";67,3682174682617;"49.98626_1.25459"
"280";"chirps-v2.0.2019.04";37,9350738525391;"49.98626_1.25459"
"281";"chirps-v2.0.2019.05";28,3762149810791;"49.98626_1.25459"
"282";"chirps-v2.0.2019.06";56,7906494140625;"49.98626_1.25459"
"283";"chirps-v2.0.2019.07";25,7782173156738;"49.98626_1.25459"
"284";"chirps-v2.0.2019.08";38,9485359191895;"49.98626_1.25459"
"285";"chirps-v2.0.2019.09";46,2942123413086;"49.98626_1.25459"
"286";"chirps-v2.0.2019.10";96,2549133300781;"49.98626_1.25459"
"287";"chirps-v2.0.2019.11";154,787948608398;"49.98626_1.25459"
"288";"chirps-v2.0.2019.12";112,944869995117;"49.98626_1.25459"
"289";"chirps-v2.0.2020.01";70,1996917724609;"49.98626_1.25459"
"290";"chirps-v2.0.2020.02";90,1655578613281;"49.98626_1.25459"
"291";"chirps-v2.0.2020.03";37,242862701416;"49.98626_1.25459"
"292";"chirps-v2.0.2020.04";30,9066066741943;"49.98626_1.25459"
"293";"chirps-v2.0.2020.05";29,7293186187744;"49.98626_1.25459"
"294";"chirps-v2.0.2020.06";36,2873153686523;"49.98626_1.25459"
"295";"chirps-v2.0.2020.07";23,2602577209473;"49.98626_1.25459"
"296";"chirps-v2.0.2020.08";53,3820037841797;"49.98626_1.25459"
"297";"chirps-v2.0.2020.09";28,6666564941406;"49.98626_1.25459"
"298";"chirps-v2.0.2020.10";130,095703125;"49.98626_1.25459"
"299";"chirps-v2.0.2020.11";38,095890045166;"49.98626_1.25459"
"300";"chirps-v2.0.2020.12";142,932174682617;"49.98626_1.25459"
"301";"chirps-v2.0.2021.01";167,432525634766;"49.98626_1.25459"
"302";"chirps-v2.0.2021.02";42,9008369445801;"49.98626_1.25459"
"303";"chirps-v2.0.2021.03";36,3720169067383;"49.98626_1.25459"
"304";"chirps-v2.0.2021.04";22,3511734008789;"49.98626_1.25459"
"305";"chirps-v2.0.2021.05";58,1783714294434;"49.98626_1.25459"
"306";"chirps-v2.0.2021.06";92,8682098388672;"49.98626_1.25459"
"307";"chirps-v2.0.2021.07";48,0409774780273;"49.98626_1.25459"
